rowname,draw,ddraw,itt_noctrl,itt_noctrl_p,itt_noctrl_N,itt_ctrl,itt_ctrl_p,itt_ctrl_N,itt_wctrl,itt_wctrl_p,itt_wctrl_N
health_private_surv14,0,      2.0000,    245.0421,      0.2815,     37.0000,    183.4527,      0.1517,     28.0000,    183.4527,      0.1517,     28.0000
health_private_surv15,0,      2.0000,    308.7365,      0.3364,     38.0000,    209.9494,      0.5441,     29.0000,    209.9494,      0.5441,     29.0000
health_private_surv16,0,      2.0000,    425.8164,      0.5226,     38.0000,     30.6870,      0.9671,     29.0000,     30.6870,      0.9671,     29.0000
health_private_surv17,0,      2.0000,   -129.9823,      0.8431,     38.0000,   -678.6033,      0.2812,     29.0000,   -678.6033,      0.2812,     29.0000
health_private_surv18,0,      2.0000,    -29.6611,      0.9660,     38.0000,   -789.1374,      0.2462,     29.0000,   -789.1374,      0.2462,     29.0000
health_private_surv19,0,      2.0000,    343.0087,      0.5992,     38.0000,    166.2128,      0.8222,     29.0000,    166.2128,      0.8222,     29.0000
health_private_surv20,0,      2.0000,    -48.5889,      0.9475,     38.0000,   -531.9023,      0.4799,     29.0000,   -531.9023,      0.4799,     29.0000
health_private_surv21,0,      2.0000,    -24.4186,      0.9860,     38.0000,  -1279.8772,      0.4009,     29.0000,  -1279.8772,      0.4009,     29.0000
health_private_surv22,0,      2.0000,   2093.2169,      0.0712,     38.0000,    765.9869,      0.5881,     29.0000,    765.9869,      0.5881,     29.0000
health_private_surv23,0,      2.0000,   2090.8725,      0.0814,     38.0000,   2805.9748,      0.0349,     29.0000,   2805.9748,      0.0349,     29.0000
health_private_surv24,0,      2.0000,   2038.3052,      0.0748,     38.0000,    742.3747,      0.6214,     29.0000,    742.3747,      0.6214,     29.0000
health_private_surv25,0,      2.0000,   1857.8346,      0.1521,     38.0000,   1623.7155,      0.2654,     29.0000,   1623.7155,      0.2654,     29.0000
health_private_surv26,0,      2.0000,    849.4935,      0.1625,     38.0000,   -101.9682,      0.8894,     29.0000,   -101.9682,      0.8894,     29.0000
health_private_surv27,0,      2.0000,   1469.5122,      0.1354,     38.0000,   1246.7666,      0.4382,     29.0000,   1246.7666,      0.4382,     29.0000
health_private_surv28,0,      2.0000,    630.0951,      0.1497,     38.0000,    540.1240,      0.1048,     29.0000,    540.1240,      0.1048,     29.0000
health_private_surv29,0,      2.0000,    553.5377,      0.1859,     38.0000,    487.3755,      0.1717,     29.0000,    487.3755,      0.1717,     29.0000
health_private_surv30,0,      2.0000,  -1208.5730,      0.3476,     13.0000,  -2144.7091,,      9.0000,  -2144.7091,,      9.0000
health_private_surv31,0,      2.0000,   -437.9080,      0.6380,     24.0000,    -41.9133,      0.9613,     18.0000,    111.1860,      0.8671,     18.0000
health_private_surv32,0,      2.0000,     76.9436,      0.9316,     29.0000,  -1385.1241,      0.3427,     23.0000,   -651.6298,      0.6405,     23.0000
health_private_surv33,0,      2.0000,   -302.0215,      0.7315,     29.0000,  -1996.5275,      0.1476,     23.0000,  -1135.7602,      0.3940,     23.0000
health_private_surv34,0,      2.0000,   -553.5090,      0.5559,     29.0000,  -2536.0297,      0.0849,     23.0000,  -1456.7481,      0.3100,     23.0000
health_private_surv35,0,      2.0000,   -423.5410,      0.6579,     29.0000,  -2470.4695,      0.1061,     23.0000,  -1299.9592,      0.3773,     23.0000
health_private_surv36,0,      2.0000,   -457.3950,      0.6235,     29.0000,  -2505.9827,      0.0955,     23.0000,  -1346.2694,      0.3474,     23.0000
health_private_surv37,0,      2.0000,   -613.0125,      0.5221,     29.0000,  -2600.5788,      0.0905,     23.0000,  -1408.5687,      0.3415,     23.0000
health_private_surv38,0,      2.0000,   -761.9904,      0.4496,     29.0000,  -2693.4509,      0.0933,     23.0000,  -1413.0990,      0.3661,     23.0000
health_private_surv39,0,      2.0000,   -780.7132,      0.4579,     29.0000,  -2881.7816,      0.0845,     23.0000,  -1504.2046,      0.3499,     23.0000
health_private_surv40,0,      2.0000,   -754.0980,      0.4662,     29.0000,  -2992.0141,      0.0789,     23.0000,  -1580.9414,      0.3300,     23.0000
health_private_surv41,0,      2.0000,   -902.4071,      0.3823,     29.0000,  -2817.8508,      0.0943,     23.0000,  -1463.5572,      0.3581,     23.0000
health_private_surv42,0,      2.0000,   -932.2159,      0.3906,     29.0000,  -2723.9093,      0.1053,     23.0000,  -1424.7595,      0.3686,     23.0000
health_private_surv43,0,      2.0000,   -771.0831,      0.4814,     29.0000,  -2375.7394,      0.1539,     23.0000,  -1081.5163,      0.4973,     23.0000
health_private_surv44,0,      2.0000,   -592.9434,      0.5961,     29.0000,  -1933.4544,      0.2615,     23.0000,   -575.6694,      0.7293,     23.0000
health_private_surv45,0,      2.0000,  -1036.2434,      0.3961,     29.0000,  -2709.7671,      0.1557,     23.0000,  -1260.7632,      0.5015,     23.0000
health_private_surv46,0,      2.0000,  -1429.6993,      0.2989,     29.0000,  -3427.0357,      0.1141,     23.0000,  -1835.2701,      0.3966,     23.0000
health_private_surv47,0,      2.0000,   -907.2257,      0.5282,     29.0000,  -2559.1656,      0.2549,     23.0000,   -842.1994,      0.7052,     23.0000
health_private_surv48,0,      2.0000,   -535.0129,      0.7120,     29.0000,  -1876.9238,      0.4022,     23.0000,   -127.1293,      0.9540,     23.0000
