rowname,draw,ddraw,itt_noctrl,itt_noctrl_p,itt_noctrl_N,itt_ctrl,itt_ctrl_p,itt_ctrl_N,itt_wctrl,itt_wctrl_p,itt_wctrl_N
health_private_surv55,1,      2.0000,   1766.8714,      0.0617,     59.0000,   2213.0231,      0.0389,     56.0000,   4036.8001,      0.0001,     56.0000
health_private_surv56,1,      2.0000,   1742.6920,      0.0888,     59.0000,   2515.0224,      0.0350,     56.0000,   4262.2765,      0.0002,     56.0000
health_private_surv57,1,      2.0000,   1431.3440,      0.1848,     59.0000,   2681.1817,      0.0373,     56.0000,   4638.0643,      0.0001,     56.0000
health_private_surv58,1,      2.0000,   1254.9503,      0.2532,     59.0000,   2978.2473,      0.0236,     56.0000,   4931.7117,      0.0001,     56.0000
health_private_surv59,1,      2.0000,   1421.0229,      0.2060,     59.0000,   3507.5900,      0.0082,     56.0000,   5497.2374,      0.0000,     56.0000
health_private_surv60,1,      2.0000,   2409.5187,      0.0410,     59.0000,   4235.3555,      0.0010,     56.0000,   6171.3255,      0.0000,     56.0000
health_private_surv61,1,      2.0000,   2859.2609,      0.0226,     59.0000,   4002.9148,      0.0018,     56.0000,   5669.1042,      0.0000,     56.0000
health_private_surv62,1,      2.0000,   1790.8675,      0.1657,     59.0000,   3177.4316,      0.0274,     56.0000,   4805.9537,      0.0003,     56.0000
health_private_surv63,1,      2.0000,   1225.9244,      0.3651,     59.0000,   3227.2882,      0.0414,     56.0000,   5384.0552,      0.0001,     56.0000
health_private_surv64,1,      2.0000,   2062.2342,      0.1339,     59.0000,   3995.5069,      0.0142,     56.0000,   6474.0109,      0.0000,     56.0000
health_private_surv65,1,      2.0000,   2740.0556,      0.0348,     59.0000,   3861.0671,      0.0177,     56.0000,   5688.3858,      0.0001,     56.0000
health_private_surv66,1,      2.0000,   4182.7076,      0.0010,     59.0000,   3951.1755,      0.0087,     56.0000,   4607.2013,      0.0004,     56.0000
health_private_surv67,1,      2.0000,   5547.3696,      0.0000,     59.0000,   5117.9326,      0.0000,     56.0000,   4905.8211,      0.0000,     56.0000
health_private_surv68,1,      2.0000,   5035.2037,      0.0000,     59.0000,   5569.2393,      0.0000,     56.0000,   5237.5674,      0.0000,     56.0000
health_private_surv69,1,      2.0000,   4532.5590,      0.0000,     59.0000,   5572.2316,      0.0000,     56.0000,   5357.0254,      0.0000,     56.0000
health_private_surv70,1,      2.0000,   4869.1576,      0.0000,     59.0000,   5659.1394,      0.0000,     56.0000,   5267.7436,      0.0000,     56.0000
health_private_surv71,1,      2.0000,   4547.3944,      0.0004,     59.0000,   4901.5680,      0.0001,     56.0000,   4532.0710,      0.0000,     56.0000
health_private_surv72,1,      2.0000,   5202.3978,      0.0002,     59.0000,   4754.0933,      0.0000,     56.0000,   4447.6076,      0.0000,     56.0000
health_private_surv73,1,      2.0000,   6922.4314,      0.0000,     59.0000,   6156.1318,      0.0000,     56.0000,   5504.9948,      0.0000,     56.0000
health_private_surv74,1,      2.0000,   7147.9977,      0.0000,     59.0000,   6939.1817,      0.0000,     56.0000,   6199.3915,      0.0000,     56.0000
health_private_surv75,1,      2.0000,   7275.1265,      0.0000,     59.0000,   7094.0769,      0.0000,     56.0000,   6291.4655,      0.0000,     56.0000
health_private_surv76,1,      2.0000,   6464.4487,      0.0000,     59.0000,   6956.1488,      0.0000,     56.0000,   6114.7861,      0.0000,     56.0000
health_private_surv77,1,      2.0000,   5518.5041,      0.0001,     59.0000,   7385.5914,      0.0000,     56.0000,   6667.3885,      0.0000,     56.0000
health_private_surv78,1,      2.0000,   6282.4093,      0.0000,     59.0000,   8288.3188,      0.0000,     56.0000,   7918.2022,      0.0000,     56.0000
health_private_surv79,1,      2.0000,   7143.3330,      0.0000,     59.0000,   8123.9738,      0.0000,     56.0000,   8280.2479,      0.0000,     56.0000
health_private_surv8,1,      2.0000,    163.3132,      0.0096,    111.0000,    203.7515,      0.0002,     95.0000,    203.7515,      0.0002,     95.0000
health_private_surv9,1,      2.0000,    -60.6507,      0.8342,    111.0000,   -165.6736,      0.6548,     95.0000,   -165.6736,      0.6548,     95.0000
health_private_surv10,1,      3.0000,     83.7851,      0.3352,    112.0000,     80.6614,      0.2794,     89.0000,     80.6614,      0.2794,     89.0000
health_private_surv11,1,      3.0000,    165.2849,      0.0487,    112.0000,     68.1511,      0.3198,     89.0000,     68.1511,      0.3198,     89.0000
health_private_surv12,1,      3.0000,    398.5261,      0.0005,     98.0000,    186.7245,      0.0884,     75.0000,    186.7245,      0.0884,     75.0000
health_private_surv13,1,      3.0000,    326.7463,      0.0028,     98.0000,    178.3398,      0.1232,     75.0000,    178.3398,      0.1232,     75.0000
health_private_surv14,1,      3.0000,    231.2034,      0.2465,     98.0000,    276.2372,      0.3140,     75.0000,    276.2372,      0.3140,     75.0000
health_private_surv15,1,      3.0000,  -1580.3081,      0.0310,    112.0000,  -2672.7052,      0.0013,     89.0000,  -2672.7052,      0.0013,     89.0000
health_private_surv16,1,      3.0000,   -592.4825,      0.0171,    112.0000,   -589.9518,      0.0272,     89.0000,   -589.9518,      0.0272,     89.0000
health_private_surv17,1,      3.0000,   -605.1995,      0.0147,    112.0000,   -737.1694,      0.0183,     89.0000,   -737.1694,      0.0183,     89.0000
health_private_surv18,1,      3.0000,   -684.6098,      0.0119,    112.0000,   -947.8984,      0.0071,     89.0000,   -947.8984,      0.0071,     89.0000
health_private_surv19,1,      3.0000,   -553.0920,      0.0053,    112.0000,   -499.1634,      0.0337,     89.0000,   -499.1634,      0.0337,     89.0000
health_private_surv20,1,      3.0000,   -438.9773,      0.0885,    112.0000,   -421.9020,      0.1787,     89.0000,   -421.9020,      0.1787,     89.0000
health_private_surv21,1,      3.0000,     24.5673,      0.9442,    112.0000,    616.5463,      0.1067,     89.0000,    616.5463,      0.1067,     89.0000
health_private_surv22,1,      3.0000,    517.9536,      0.0562,    112.0000,    563.9251,      0.1198,     89.0000,    563.9251,      0.1198,     89.0000
health_private_surv23,1,      3.0000,    315.8985,      0.1388,    112.0000,    549.4577,      0.0025,     89.0000,    549.4577,      0.0025,     89.0000
health_private_surv24,1,      3.0000,    489.3416,      0.0304,    112.0000,    563.2629,      0.0494,     89.0000,    563.2629,      0.0494,     89.0000
health_private_surv25,1,      3.0000,    196.8785,      0.3439,    112.0000,    308.2819,      0.1913,     89.0000,    308.2819,      0.1913,     89.0000
health_private_surv26,1,      3.0000,    -90.2227,      0.7451,    112.0000,     51.1675,      0.8816,     89.0000,     51.1675,      0.8816,     89.0000
health_private_surv27,1,      3.0000,    106.1633,      0.6156,    112.0000,    173.8118,      0.5117,     89.0000,    173.8118,      0.5117,     89.0000
health_private_surv28,1,      3.0000,    123.0205,      0.4302,    112.0000,    201.8315,      0.1959,     89.0000,    201.8315,      0.1959,     89.0000
health_private_surv29,1,      3.0000,    184.0971,      0.2392,    112.0000,    176.7543,      0.2685,     89.0000,    176.7543,      0.2685,     89.0000
health_private_surv30,1,      3.0000,    476.2803,      0.3928,     31.0000,  12141.9813,,     21.0000,  12141.9813,,     21.0000
health_private_surv31,1,      3.0000,   1286.0124,      0.0058,     57.0000,   1163.8385,      0.0727,     41.0000,   1040.8679,      0.1030,     41.0000
health_private_surv32,1,      3.0000,   1206.8687,      0.0043,     68.0000,   1229.5057,      0.0577,     52.0000,   1095.0221,      0.0837,     52.0000
health_private_surv33,1,      3.0000,   1286.0370,      0.0020,     68.0000,   1297.4653,      0.0401,     52.0000,   1111.5329,      0.0720,     52.0000
health_private_surv34,1,      3.0000,   1357.6756,      0.0009,     68.0000,   1196.4755,      0.0407,     52.0000,   1031.6883,      0.0770,     52.0000
health_private_surv35,1,      3.0000,   1399.1151,      0.0011,     68.0000,   1153.5539,      0.0542,     52.0000,    999.9597,      0.0976,     52.0000
health_private_surv36,1,      3.0000,   1391.5244,      0.0017,     68.0000,   1161.3511,      0.0673,     52.0000,    952.3017,      0.1350,     52.0000
health_private_surv37,1,      3.0000,   1490.9336,      0.0006,     68.0000,   1175.2912,      0.0644,     52.0000,    951.2425,      0.1314,     52.0000
health_private_surv38,1,      3.0000,   1584.3774,      0.0002,     68.0000,   1070.8826,      0.0842,     52.0000,    864.6836,      0.1571,     52.0000
health_private_surv39,1,      3.0000,   1613.4714,      0.0001,     74.0000,   1327.7808,      0.0028,     58.0000,    970.9811,      0.0294,     58.0000
health_private_surv40,1,      3.0000,   1494.9009,      0.0006,     74.0000,   1166.3604,      0.0090,     58.0000,    869.3974,      0.0522,     58.0000
health_private_surv41,1,      3.0000,   1652.6648,      0.0001,     75.0000,   1325.1725,      0.0021,     59.0000,   1047.9514,      0.0128,     59.0000
health_private_surv42,1,      3.0000,   1772.0257,      0.0000,     75.0000,   1506.2179,      0.0005,     59.0000,   1196.0889,      0.0051,     59.0000
health_private_surv43,1,      3.0000,   1777.2577,      0.0001,     75.0000,   1584.4916,      0.0009,     59.0000,   1242.3335,      0.0093,     59.0000
health_private_surv44,1,      3.0000,   1788.8687,      0.0005,     75.0000,   1587.8037,      0.0026,     59.0000,   1255.6448,      0.0184,     59.0000
health_private_surv45,1,      3.0000,   1959.4767,      0.0005,     75.0000,   1716.8115,      0.0027,     59.0000,   1415.4852,      0.0139,     59.0000
health_private_surv46,1,      3.0000,   2122.4246,      0.0005,     75.0000,   1853.3871,      0.0027,     59.0000,   1563.0524,      0.0113,     59.0000
health_private_surv47,1,      3.0000,   2240.1594,      0.0005,     75.0000,   2076.1163,      0.0007,     59.0000,   1752.0808,      0.0039,     59.0000
health_private_surv48,1,      3.0000,   2324.7838,      0.0006,     75.0000,   2233.6906,      0.0002,     59.0000,   1884.6154,      0.0016,     59.0000
health_private_surv49,1,      3.0000,   2690.2514,      0.0001,     75.0000,   2309.8133,      0.0002,     59.0000,   1879.4927,      0.0021,     59.0000
health_private_surv50,1,      3.0000,   3262.0623,      0.0000,     75.0000,   2632.9489,      0.0001,     59.0000,   2101.0888,      0.0014,     59.0000
health_private_surv51,1,      3.0000,   3672.7167,      0.0000,     75.0000,   3034.8075,      0.0000,     59.0000,   2536.4955,      0.0005,     59.0000
health_private_surv52,1,      3.0000,   3777.2182,      0.0000,     75.0000,   3282.8637,      0.0000,     59.0000,   2784.9358,      0.0004,     59.0000
health_private_surv53,1,      3.0000,   3762.1708,      0.0000,     75.0000,   3498.2187,      0.0000,     59.0000,   2845.8221,      0.0003,     59.0000
health_private_surv54,1,      3.0000,   3940.2792,      0.0000,     75.0000,   3673.4391,      0.0000,     59.0000,   2978.2603,      0.0002,     59.0000
health_private_surv55,1,      3.0000,   4604.5518,      0.0000,     75.0000,   4368.9207,      0.0000,     59.0000,   3877.4325,      0.0000,     59.0000
health_private_surv56,1,      3.0000,   5081.7601,      0.0000,     75.0000,   4954.0073,      0.0000,     59.0000,   4633.4375,      0.0000,     59.0000
health_private_surv57,1,      3.0000,   4946.6406,      0.0000,     75.0000,   4946.6753,      0.0000,     59.0000,   4393.6633,      0.0000,     59.0000
health_private_surv58,1,      3.0000,   4925.9093,      0.0000,     75.0000,   4981.3157,      0.0000,     59.0000,   4184.2401,      0.0000,     59.0000
health_private_surv59,1,      3.0000,   5237.4188,      0.0000,     75.0000,   5097.4777,      0.0000,     59.0000,   4415.2590,      0.0000,     59.0000
health_private_surv60,1,      3.0000,   5666.4818,      0.0000,     75.0000,   5541.5024,      0.0000,     59.0000,   4904.3815,      0.0000,     59.0000
health_private_surv61,1,      3.0000,   6256.0254,      0.0000,     75.0000,   6052.6081,      0.0000,     59.0000,   5190.5239,      0.0000,     59.0000
health_private_surv62,1,      3.0000,   6827.2055,      0.0000,     75.0000,   6365.2695,      0.0000,     59.0000,   5358.4988,      0.0000,     59.0000
health_private_surv63,1,      3.0000,   7211.1928,      0.0000,     75.0000,   6592.0812,      0.0000,     59.0000,   5648.3583,      0.0000,     59.0000
health_private_surv64,1,      3.0000,   7514.6277,      0.0000,     75.0000,   6946.9310,      0.0000,     59.0000,   6004.9507,      0.0000,     59.0000
