rowname,draw,ddraw,itt_noctrl,itt_noctrl_p,itt_noctrl_N,itt_ctrl,itt_ctrl_p,itt_ctrl_N,itt_wctrl,itt_wctrl_p,itt_wctrl_N
health_private_surv75,1,      0.0000,   7009.8294,      0.0262,     26.0000,   7661.8047,      0.0036,     20.0000,   8926.0130,      0.0052,     20.0000
health_private_surv76,1,      0.0000,   7436.2344,      0.0376,     26.0000,   7307.4446,      0.0165,     20.0000,   9167.8279,      0.0196,     20.0000
health_private_surv77,1,      0.0000,   8412.7848,      0.0307,     26.0000,   7828.7067,      0.0084,     20.0000,   9602.4037,      0.0129,     20.0000
health_private_surv78,1,      0.0000,   8802.0129,      0.0318,     26.0000,   9714.1627,      0.0015,     20.0000,  11383.7658,      0.0029,     20.0000
health_private_surv79,1,      0.0000,   8102.9763,      0.0683,     26.0000,  11627.4282,      0.0029,     20.0000,  13264.5110,      0.0042,     20.0000
health_private_surv8,1,      0.0000,  -5745.5143,      0.0481,     56.0000,  -7713.4378,      0.0434,     47.0000,  -7713.4378,      0.0434,     47.0000
health_private_surv9,1,      0.0000,    142.2106,      0.0771,     56.0000,     70.3088,      0.3478,     47.0000,     70.3088,      0.3478,     47.0000
health_private_surv10,1,      1.0000,   -107.4695,      0.2164,     58.0000,    -16.3995,      0.8744,     46.0000,    -16.3995,      0.8744,     46.0000
health_private_surv11,1,      1.0000,   -114.3703,      0.1916,     58.0000,     48.2689,      0.6538,     46.0000,     48.2689,      0.6538,     46.0000
health_private_surv12,1,      1.0000,  -1635.2190,      0.1087,     49.0000,  -3301.4402,      0.0385,     37.0000,  -3301.4402,      0.0385,     37.0000
health_private_surv13,1,      1.0000,   -370.0391,      0.0322,     49.0000,   -115.5144,      0.4742,     37.0000,   -115.5144,      0.4742,     37.0000
health_private_surv14,1,      1.0000,   1803.3195,      0.2985,     49.0000,   -332.0859,      0.1155,     37.0000,   -332.0859,      0.1155,     37.0000
health_private_surv15,1,      1.0000,   -397.0421,      0.0058,     58.0000,   -492.1292,      0.0060,     46.0000,   -492.1292,      0.0060,     46.0000
health_private_surv16,1,      1.0000,   1780.8219,      0.3262,     58.0000,   -875.3347,      0.1134,     46.0000,   -875.3347,      0.1134,     46.0000
health_private_surv17,1,      1.0000,    612.7826,      0.6269,     58.0000,  -1273.1595,      0.0198,     46.0000,  -1273.1595,      0.0198,     46.0000
health_private_surv18,1,      1.0000,   1040.4359,      0.4367,     58.0000,  -1681.7318,      0.0046,     46.0000,  -1681.7318,      0.0046,     46.0000
health_private_surv19,1,      1.0000,   1458.7516,      0.3910,     58.0000,   -889.3836,      0.0595,     46.0000,   -889.3836,      0.0595,     46.0000
health_private_surv20,1,      1.0000,    975.7058,      0.3856,     58.0000,   -290.8520,      0.7446,     46.0000,   -290.8520,      0.7446,     46.0000
health_private_surv21,1,      1.0000,    -86.1597,      0.5798,     58.0000,    138.4758,      0.4372,     46.0000,    138.4758,      0.4372,     46.0000
health_private_surv22,1,      1.0000,    195.9559,      0.1852,     58.0000,    339.7452,      0.0426,     46.0000,    339.7452,      0.0426,     46.0000
health_private_surv23,1,      1.0000,    152.7880,      0.2265,     58.0000,    338.6381,      0.0114,     46.0000,    338.6381,      0.0114,     46.0000
health_private_surv24,1,      1.0000,    176.3492,      0.2156,     58.0000,    207.6061,      0.1652,     46.0000,    207.6061,      0.1652,     46.0000
health_private_surv25,1,      1.0000,    -64.7338,      0.5949,     58.0000,   -121.3449,      0.3163,     46.0000,   -121.3449,      0.3163,     46.0000
health_private_surv26,1,      1.0000,   -230.0084,      0.0522,     58.0000,   -171.0672,      0.2026,     46.0000,   -171.0672,      0.2026,     46.0000
health_private_surv27,1,      1.0000,   -146.0704,      0.1191,     58.0000,    -98.7076,      0.1251,     46.0000,    -98.7076,      0.1251,     46.0000
health_private_surv28,1,      1.0000,    -56.4122,      0.5992,     58.0000,    -77.6255,      0.1915,     46.0000,    -77.6255,      0.1915,     46.0000
health_private_surv29,1,      1.0000,    -51.6149,      0.6711,     58.0000,     20.5017,      0.7895,     46.0000,     20.5017,      0.7895,     46.0000
health_private_surv30,1,      1.0000,      0.0000,,     11.0000,      0.0000,,      4.0000,      0.0000,,      4.0000
health_private_surv31,1,      1.0000,   3405.5230,      0.0043,     24.0000,      0.0000,,     15.0000,      0.0000,,     15.0000
