rowname,draw,ddraw,itt_noctrl,itt_noctrl_p,itt_noctrl_N,itt_ctrl,itt_ctrl_p,itt_ctrl_N,itt_wctrl,itt_wctrl_p,itt_wctrl_N
health_private_surv37,0,      2.0000,   4605.8483,      0.0125,     20.0000,   1745.9541,      0.3922,     20.0000,   1769.6285,      0.3562,     20.0000
health_private_surv38,0,      2.0000,   4353.5645,      0.0138,     20.0000,   1485.3831,      0.4320,     20.0000,   1498.3186,      0.3990,     20.0000
health_private_surv39,0,      2.0000,   4198.8673,      0.0208,     20.0000,   1421.7098,      0.4661,     20.0000,   1438.6581,      0.4214,     20.0000
health_private_surv40,0,      2.0000,   4051.7446,      0.0311,     20.0000,   1285.7442,      0.5248,     20.0000,   1307.1305,      0.4807,     20.0000
health_private_surv41,0,      2.0000,   3780.6485,      0.0067,     21.0000,   2543.7447,      0.0841,     21.0000,   2542.7483,      0.0684,     21.0000
health_private_surv42,0,      2.0000,   4371.6951,      0.0027,     21.0000,   3027.5065,      0.0631,     21.0000,   3041.2133,      0.0491,     21.0000
health_private_surv43,0,      2.0000,   4501.2228,      0.0021,     21.0000,   3517.0215,      0.0400,     21.0000,   3536.1300,      0.0297,     21.0000
health_private_surv44,0,      2.0000,   4667.2040,      0.0017,     21.0000,   3989.5457,      0.0289,     21.0000,   4018.2678,      0.0207,     21.0000
health_private_surv45,0,      2.0000,   4317.3926,      0.0025,     21.0000,   3186.8540,      0.0595,     21.0000,   3162.2857,      0.0482,     21.0000
health_private_surv46,0,      2.0000,   3958.3643,      0.0052,     21.0000,   2314.5624,      0.1548,     21.0000,   2230.6849,      0.1487,     21.0000
health_private_surv47,0,      2.0000,   4639.4817,      0.0029,     21.0000,   2971.0860,      0.0781,     21.0000,   2906.7098,      0.0696,     21.0000
health_private_surv48,0,      2.0000,   5304.1391,      0.0021,     21.0000,   3685.0286,      0.0382,     21.0000,   3641.5870,      0.0313,     21.0000
health_private_surv49,0,      2.0000,   5629.1380,      0.0007,     21.0000,   3889.9010,      0.0126,     21.0000,   3818.5219,      0.0102,     21.0000
health_private_surv50,0,      2.0000,   6024.1156,      0.0003,     21.0000,   3986.5049,      0.0068,     21.0000,   3890.2019,      0.0055,     21.0000
health_private_surv51,0,      2.0000,   6434.1061,      0.0001,     21.0000,   4508.4118,      0.0026,     21.0000,   4422.1453,      0.0020,     21.0000
health_private_surv52,0,      2.0000,   6810.9139,      0.0000,     21.0000,   5109.2828,      0.0008,     21.0000,   5033.4756,      0.0006,     21.0000
health_private_surv53,0,      2.0000,   7043.4056,      0.0000,     21.0000,   5236.6558,      0.0037,     21.0000,   5152.9589,      0.0028,     21.0000
health_private_surv54,0,      2.0000,   7277.6334,      0.0001,     21.0000,   5384.1136,      0.0118,     21.0000,   5294.1284,      0.0093,     21.0000
health_private_surv55,0,      2.0000,   7377.8260,      0.0002,     21.0000,   5290.1011,      0.0214,     21.0000,   5131.3338,      0.0199,     21.0000
health_private_surv56,0,      2.0000,   7514.2602,      0.0003,     21.0000,   4953.2835,      0.0484,     21.0000,   4714.7761,      0.0524,     21.0000
health_private_surv57,0,      2.0000,   7972.5975,      0.0001,     21.0000,   5413.5272,      0.0201,     21.0000,   5203.4032,      0.0213,     21.0000
health_private_surv58,0,      2.0000,   8345.7643,      0.0000,     21.0000,   6111.2269,      0.0048,     21.0000,   5932.9032,      0.0048,     21.0000
health_private_surv59,0,      2.0000,   8537.3910,      0.0001,     21.0000,   7483.9893,      0.0029,     21.0000,   7369.7154,      0.0023,     21.0000
health_private_surv60,0,      2.0000,   8765.5644,      0.0008,     21.0000,   8786.1194,      0.0036,     21.0000,   8736.5246,      0.0024,     21.0000
health_private_surv61,0,      2.0000,   8258.0814,      0.0007,     21.0000,   8313.7778,      0.0045,     21.0000,   8182.7873,      0.0036,     21.0000
health_private_surv62,0,      2.0000,   7795.0802,      0.0009,     21.0000,   7718.0038,      0.0099,     21.0000,   7503.8720,      0.0096,     21.0000
health_private_surv63,0,      2.0000,   9658.6784,      0.0002,     21.0000,   8717.7578,      0.0036,     21.0000,   8515.8251,      0.0033,     21.0000
health_private_surv64,0,      2.0000,  11409.7389,      0.0001,     21.0000,   9887.7681,      0.0011,     21.0000,   9692.9295,      0.0010,     21.0000
health_private_surv65,0,      2.0000,   9025.7734,      0.0003,     21.0000,   6350.3223,      0.0287,     21.0000,   6172.1940,      0.0265,     21.0000
health_private_surv66,0,      2.0000,   6398.5741,      0.0006,     21.0000,   3953.0997,      0.0742,     21.0000,   3832.4197,      0.0681,     21.0000
health_private_surv67,0,      2.0000,   6624.5153,      0.0001,     21.0000,   5375.2922,      0.0049,     21.0000,   5230.4078,      0.0033,     21.0000
health_private_surv68,0,      2.0000,   7177.5222,      0.0001,     21.0000,   5478.9544,      0.0151,     21.0000,   5269.4795,      0.0117,     21.0000
health_private_surv69,0,      2.0000,   7117.2030,      0.0001,     21.0000,   5178.1731,      0.0150,     21.0000,   5014.9222,      0.0119,     21.0000
health_private_surv70,0,      2.0000,   6933.0275,      0.0003,     21.0000,   5438.8020,      0.0280,     21.0000,   5341.2331,      0.0214,     21.0000
health_private_surv71,0,      2.0000,   6138.7257,      0.0002,     21.0000,   7192.7810,      0.0004,     21.0000,   7051.9778,      0.0004,     21.0000
health_private_surv72,0,      2.0000,   5489.1327,      0.0018,     21.0000,   8564.2128,      0.0001,     21.0000,   8375.7690,      0.0001,     21.0000
health_private_surv73,0,      2.0000,   6335.5617,      0.0003,     21.0000,   7695.6062,      0.0001,     21.0000,   7557.4029,      0.0001,     21.0000
health_private_surv74,0,      2.0000,   7135.9138,      0.0001,     21.0000,   6898.5006,      0.0002,     21.0000,   6808.5675,      0.0002,     21.0000
health_private_surv75,0,      2.0000,   7231.1873,      0.0004,     21.0000,   7666.3769,      0.0011,     21.0000,   7480.6013,      0.0011,     21.0000
health_private_surv76,0,      2.0000,   7420.4767,      0.0019,     21.0000,   8038.1586,      0.0090,     21.0000,   7743.7867,      0.0096,     21.0000
health_private_surv77,0,      2.0000,   8189.5624,      0.0083,     21.0000,   8624.3748,      0.0181,     21.0000,   8325.7376,      0.0177,     21.0000
health_private_surv78,0,      2.0000,   8811.4718,      0.0262,     21.0000,   9541.4725,      0.0248,     21.0000,   9239.1472,      0.0226,     21.0000
health_private_surv79,0,      2.0000,   9641.5669,      0.0017,     21.0000,   8550.8627,      0.0181,     21.0000,   8123.3995,      0.0203,     21.0000
health_private_surv8,0,      2.0000,     28.9392,      0.6535,     34.0000,    134.6803,      0.0053,     33.0000,    134.6803,      0.0053,     33.0000
health_private_surv9,0,      2.0000,     11.5076,      0.8662,     34.0000,     89.0649,      0.2767,     33.0000,     89.0649,      0.2767,     33.0000
health_private_surv10,0,      3.0000,     -2.8262,      0.9902,     35.0000,    -56.5020,      0.7341,     31.0000,    -56.5020,      0.7341,     31.0000
health_private_surv11,0,      3.0000,    223.2643,      0.1647,     35.0000,    213.3333,      0.0706,     31.0000,    213.3333,      0.0706,     31.0000
health_private_surv12,0,      3.0000,   -260.7845,      0.2605,     34.0000,    184.1231,      0.3288,     30.0000,    184.1231,      0.3288,     30.0000
health_private_surv13,0,      3.0000,   -209.1865,      0.3275,     34.0000,      5.3642,      0.9748,     30.0000,      5.3642,      0.9748,     30.0000
health_private_surv14,0,      3.0000,    349.6084,      0.5856,     34.0000,    540.4827,      0.4698,     30.0000,    540.4827,      0.4698,     30.0000
health_private_surv15,0,      3.0000,   -147.5253,      0.1928,     35.0000,    -47.9398,      0.6794,     31.0000,    -47.9398,      0.6794,     31.0000
health_private_surv16,0,      3.0000,   -437.8728,      0.5996,     35.0000,   -815.6773,      0.0873,     31.0000,   -815.6773,      0.0873,     31.0000
health_private_surv17,0,      3.0000,   -524.5345,      0.4275,     35.0000,   -902.9030,      0.0417,     31.0000,   -902.9030,      0.0417,     31.0000
health_private_surv18,0,      3.0000,   -608.2522,      0.3478,     35.0000,   -968.2450,      0.0190,     31.0000,   -968.2450,      0.0190,     31.0000
health_private_surv19,0,      3.0000,   -709.3003,      0.3540,     35.0000,  -1128.4712,      0.0061,     31.0000,  -1128.4712,      0.0061,     31.0000
health_private_surv20,0,      3.0000,   -184.3843,      0.7826,     35.0000,    -52.8759,      0.9362,     31.0000,    -52.8759,      0.9362,     31.0000
health_private_surv21,0,      3.0000,    356.6443,      0.3191,     35.0000,    540.4619,      0.1805,     31.0000,    540.4619,      0.1805,     31.0000
health_private_surv22,0,      3.0000,    343.3054,      0.3083,     35.0000,    518.7927,      0.1533,     31.0000,    518.7927,      0.1533,     31.0000
health_private_surv23,0,      3.0000,    707.6122,      0.2147,     35.0000,    868.7758,      0.1910,     31.0000,    868.7758,      0.1910,     31.0000
health_private_surv24,0,      3.0000,    166.2535,      0.5539,     35.0000,    378.4253,      0.2733,     31.0000,    378.4253,      0.2733,     31.0000
health_private_surv25,0,      3.0000,     39.1189,      0.8194,     35.0000,    223.1898,      0.0824,     31.0000,    223.1898,      0.0824,     31.0000
health_private_surv26,0,      3.0000,    -26.2429,      0.8749,     35.0000,     50.7405,      0.6850,     31.0000,     50.7405,      0.6850,     31.0000
health_private_surv27,0,      3.0000,     60.3791,      0.6962,     35.0000,    219.9751,      0.0020,     31.0000,    219.9751,      0.0020,     31.0000
health_private_surv28,0,      3.0000,    158.5150,      0.3725,     35.0000,    191.1251,      0.0011,     31.0000,    191.1251,      0.0011,     31.0000
health_private_surv29,0,      3.0000,    167.4861,      0.4263,     35.0000,    210.7192,      0.0028,     31.0000,    210.7192,      0.0028,     31.0000
health_private_surv30,0,      3.0000,      0.0000,,      9.0000,      0.0000,,      6.0000,      0.0000,,      6.0000
health_private_surv31,0,      3.0000,      0.0000,,     17.0000,      0.0000,,     14.0000,      0.0000,,     14.0000
health_private_surv32,0,      3.0000,   3573.2648,      0.0335,     23.0000,   -946.6111,      0.2981,     20.0000,  -1003.6545,      0.2943,     20.0000
health_private_surv33,0,      3.0000,   3893.5255,      0.0218,     23.0000,   -386.2940,      0.6280,     20.0000,   -437.0157,      0.6029,     20.0000
health_private_surv34,0,      3.0000,   4206.7337,      0.0131,     23.0000,    249.7949,      0.7269,     20.0000,    201.3645,      0.7889,     20.0000
health_private_surv35,0,      3.0000,   3597.2779,      0.0330,     23.0000,   -568.5953,      0.3663,     20.0000,   -617.0021,      0.3511,     20.0000
health_private_surv36,0,      3.0000,   2987.2157,      0.0748,     23.0000,  -1399.8632,      0.0254,     20.0000,  -1448.7184,      0.0266,     20.0000
health_private_surv37,0,      3.0000,   3006.6806,      0.0703,     23.0000,  -1143.8625,      0.0797,     20.0000,  -1194.7034,      0.0800,     20.0000
health_private_surv38,0,      3.0000,   3017.5747,      0.0613,     23.0000,   -849.9600,      0.2310,     20.0000,   -906.8338,      0.2219,     20.0000
health_private_surv39,0,      3.0000,   3160.5201,      0.0389,     23.0000,   -572.1349,      0.3190,     20.0000,   -615.6217,      0.3071,     20.0000
health_private_surv40,0,      3.0000,   3252.1120,      0.0326,     23.0000,   -344.6638,      0.4596,     20.0000,   -372.5111,      0.4495,     20.0000
health_private_surv41,0,      3.0000,   3054.8219,      0.0683,     23.0000,  -1541.2632,      0.0417,     20.0000,  -1593.8423,      0.0444,     20.0000
